,eff_stress,VP,VS,DEN,VSH_GR,PHIT_ND
266,17.16,3183.3,1695.83,2.14,0.07,0.32
267,19.2,2982.75,1525.86,2.09,0.29,0.36
268,17.17,3162.89,1680.08,2.13,0.06,0.32
269,19.22,3086.58,1608.64,2.2,0.29,0.29
270,17.19,3141.07,1658.62,2.13,0.09,0.32
271,19.23,3102.29,1627.19,2.19,0.19,0.29
272,17.2,3111.04,1639.59,2.15,0.05,0.31
273,19.25,3025.31,1564.51,2.21,0.21,0.29
274,19.69,2634.03,1630.2,2.33,0.48,0.27
275,19.26,2988.24,1542.23,2.14,0.08,0.32
276,19.26,2941.38,1507.18,2.13,0.04,0.32
277,19.27,2946.71,1507.57,2.13,0.11,0.33
278,19.27,2979.11,1533.1,2.12,0.11,0.33
279,19.28,2984.58,1538.32,2.13,0.1,0.33
280,19.28,3059.47,1601.42,2.12,0.05,0.33
281,19.29,2971.85,1531.56,2.12,0.04,0.34
282,19.29,2895.96,1469.74,2.11,0.06,0.34
283,19.3,3029.07,1579.98,2.12,0.0,0.33
284,19.3,3061.39,1605.97,2.15,0.0,0.31
285,19.31,2909.79,1484.05,2.11,0.0,0.34
286,19.31,2921.99,1492.94,2.14,0.02,0.32
287,19.32,2957.43,1520.02,2.15,0.04,0.32
288,19.32,2873.78,1454.25,2.1,0.01,0.34
289,19.33,2921.99,1493.87,2.12,0.0,0.33
290,19.77,2873.77,1401.57,2.56,0.64,0.19
291,19.34,2346.87,952.71,2.16,1.0,0.46
292,19.34,2391.76,988.68,2.2,1.0,0.42
293,19.79,2882.25,1425.59,2.16,0.05,0.31
294,19.35,2672.22,1285.79,2.07,0.13,0.35
295,17.32,3009.24,1543.1,2.11,0.18,0.34
296,19.81,2900.86,1451.97,2.19,0.0,0.29
297,19.37,2589.91,1206.81,1.87,0.38,0.48
298,17.33,2964.42,1508.66,2.11,0.16,0.33
299,19.83,2980.56,1533.93,2.18,0.04,0.29
300,19.38,2789.93,1387.67,2.06,0.0,0.38
301,17.35,3001.68,1537.76,2.11,0.17,0.33
302,19.84,2956.7,1525.4,2.18,0.05,0.29
303,19.39,2872.08,1449.45,2.11,0.07,0.34
304,17.36,3001.51,1538.16,2.11,0.17,0.33
305,19.86,2819.29,1416.69,2.15,0.4,0.32
306,19.86,2805.69,1406.27,2.14,0.3,0.32
307,17.38,2961.94,1504.15,2.11,0.19,0.33
308,19.87,2830.62,1390.82,2.15,0.26,0.32
309,19.88,2855.02,1436.65,2.16,0.23,0.31
310,17.39,2964.03,1502.34,2.11,0.22,0.33
311,17.4,2955.38,1496.23,2.11,0.21,0.33
312,19.89,2972.01,1481.54,2.23,0.36,0.29
313,17.41,2955.54,1493.35,2.11,0.24,0.33
314,17.41,2937.42,1478.65,2.11,0.24,0.33
315,19.91,2905.96,1529.79,2.3,0.49,0.27
316,17.42,2951.13,1492.61,2.13,0.21,0.32
317,17.43,2928.42,1472.64,2.12,0.23,0.33
318,19.93,2767.75,1400.4,2.19,0.61,0.31
319,17.43,2915.93,1461.89,2.11,0.23,0.33
320,17.44,2912.82,1455.45,2.13,0.27,0.32
321,19.94,2812.93,1406.53,2.22,0.68,0.3
322,17.45,2947.46,1479.8,2.17,0.3,0.3
