,Unnamed: 0,DEPTH,DEN,GR,PHIE_D,PHIT_D,VP,VS,VSH_GR
129,4009,1801.125,2.1366400000000003,24.96358,0.30306459999999996,0.32085,3.04193,1.56311,0.1138268
130,4010,1801.25,2.13742,27.617309999999996,0.29883509999999996,0.3203626,3.03839,1.56338,0.137776
131,4011,1801.375,2.13096,27.71909,0.30272509999999997,0.3244,3.0341400000000003,1.56069,0.13871979999999998
132,4012,1801.5,2.12982,26.61031,0.30502809999999997,0.3251125,3.02275,1.5626,0.1285396
133,4013,1801.625,2.1373900000000003,27.611909999999998,0.2988617,0.32038130000000004,3.02105,1.5639399999999999,0.1377259
134,4014,1801.75,2.13863,26.880209999999998,0.299138,0.3196063,3.02482,1.56151,0.1309971
135,4015,1801.875,2.13987,26.14852,0.2993993,0.3188313,3.0286,1.5590899999999999,0.12436520000000001
136,4016,1802.0,2.1387,28.258979999999998,0.2971003,0.3195625,3.05123,1.56174,0.14375829999999998
137,4017,1802.125,2.12827,27.006859999999996,0.3054321,0.3260813,3.05281,1.56354,0.1321549
138,4018,1802.25,2.12376,26.769940000000002,0.3085889,0.3289,3.04466,1.56285,0.1299915
139,4019,1802.375,2.1166400000000003,27.799540000000004,0.3115582,0.33335,3.0369099999999998,1.56587,0.1394672
140,4020,1802.5,2.11944,27.32755,0.3104907,0.3316,3.03131,1.56518,0.13509939999999998
141,4021,1802.625,2.12224,26.855559999999997,0.3094168,0.32985,3.02572,1.56449,0.1307721
142,4022,1802.75,2.12982,27.32433,0.3040078,0.3251125,3.02957,1.56371,0.13506970000000001
143,4023,1802.875,2.13364,25.71025,0.3039065,0.322725,3.04537,1.56154,0.12043859999999999
144,4024,1803.0,2.1358599999999996,26.68249,0.3011507,0.3213376,3.0627,1.56049,0.1291955
145,4025,1803.125,2.13565,26.75804,0.30117459999999996,0.3214688,3.0662,1.56197,0.1298831
146,4026,1803.25,2.13544,26.83359,0.30119809999999997,0.3216,3.0697,1.56346,0.13057169999999998
147,4027,1803.375,2.1379200000000003,27.340190000000003,0.2989226,0.32005009999999995,3.06699,1.56794,0.1352158
148,4028,1803.5,2.14925,29.08346,0.28928790000000004,0.3129688,3.05765,1.57454,0.15155739999999998
149,4029,1803.625,2.15702,27.398870000000002,0.2869005,0.3081125,3.05231,1.57515,0.1357567
